seg_id,elev_start_m,elev_end_m,dist_horiz_m,width_actual_m,cross_slope_loaded_pct,cross_slope_empty_pct,is_curve,superelevasi_pct
A-B,64.7,73.0,100,27.8,2,5,False,
B-C,73.0,82.0,100,26.7,-1,3,False,
C-D,82.0,84.4,31,24.2,4,0,False,
D-E,84.4,85.4,44,33.0,5,-2,False,
E-F,85.4,76.8,100,48.1,3,1,False,
F-G,76.8,73.8,50,25.0,-2,4,True,1.04
G-H,73.8,72.1,44,31.8,0,5,True,0.95
H-I,72.1,71.8,28,34.0,-1,3,True,0.67
I-J,71.8,71.4,21,36.0,1,0,True,1.50
J-K,71.4,71.6,21,35.3,5,-2,True,2.23
K-L,71.6,72.6,94,28.0,3,1,False,
L-M,72.6,73.3,25,31.0,-2,4,False,
M-N,73.3,73.4,100,30.0,-1,3,False,
N-O,73.4,73.6,100,25.0,1,3,False,
